V1 V2 V3 V4 V5 V6
AFGH-1 (3) 0.992 0.004 0.004 A
AFGH-2 (3) 0.985 0.01 0.005 A
AFGH-3 (7) 0.992 0.004 0.004 A
AFGH-4 (3) 0.995 0.002 0.003 A
AFGH-5 (10) 0.989 0.007 0.004 A
AKIT-1 (7) 0.004 0.007 0.989 A
AKIT-2 (0) 0.006 0.004 0.99 A
AKIT-3 (0) 0.007 0.005 0.988 A
AKIT-4 (3) 0.004 0.007 0.99 A
AKIT-5 (1) 0.002 0.006 0.992 A
AMAL-1 (3) 0.053 0.018 0.929 A
AMAL-2 (7) 0.05 0.031 0.919 A
AMAL-3 (3) 0.01 0.055 0.936 A
AMAL-4 (10) 0.004 0.006 0.99 A
AMAL-5 (1) 0.005 0.005 0.991 A
BSJI-1 (17) 0.015 0.969 0.017 A
BSJI-2 (3) 0.007 0.977 0.016 A
BSJI-3 (14) 0.005 0.987 0.007 A
BSJI-4 (0) 0.006 0.989 0.005 A
BSJI-5 (0) 0.007 0.987 0.006 A
CHOW-1 (0) 0.011 0.05 0.939 A
CHOW-2 (10) 0.012 0.008 0.98 A
CHOW-3 (14) 0.004 0.006 0.99 A
CHOW-4 (25) 0.015 0.025 0.96 A
CHOW-5 (0) 0.035 0.018 0.947 A
HUSK-1 (10) 0.377 0.012 0.611 A
HUSK-2 (3) 0.655 0.007 0.338 A
HUSK-3 (10) 0.276 0.015 0.709 A
HUSK-4 (3) 0.093 0.026 0.881 A
HUSK-5 (3) 0.072 0.01 0.918 A
LHSA-1 (0) 0.993 0.003 0.004 A
LHSA-2 (32) 0.975 0.015 0.01 A
LHSA-3 (25) 0.986 0.007 0.007 A
LHSA-4 (0) 0.98 0.004 0.015 A
LHSA-5 (3) 0.989 0.006 0.005 A
PEKE-1 (0) 0.993 0.004 0.003 A
PEKE-2 (7) 0.987 0.008 0.005 A
PEKE-3 (0) 0.989 0.006 0.005 A
PEKE-4 (0) 0.994 0.004 0.002 A
PEKE-5 (1) 0.991 0.005 0.004 A
SALU-1 (0) 0.895 0.077 0.028 A
SALU-2 (0) 0.954 0.021 0.025 A
SALU-3 (10) 0.939 0.018 0.043 A
SALU-4 (3) 0.977 0.013 0.01 A
SALU-5 (25) 0.823 0.158 0.018 A
SAMO-1 (0) 0.15 0.832 0.018 A
SAMO-2 (0) 0.056 0.909 0.035 A
SAMO-3 (0) 0.103 0.821 0.076 A
SAMO-4 (0) 0.016 0.976 0.007 A
SAMO-5 (0) 0.189 0.805 0.006 A
SHAR-1 (3) 0.031 0.007 0.961 A
SHAR-2 (7) 0.008 0.006 0.986 A
SHAR-3 (3) 0.007 0.012 0.981 A
